jd_file,resume_file,jd_token,resume_token,ratio,false_positive
backend-python-fastapi-senior.txt,ChloeMartinezResume.pdf,establish,establishing,85.71428571428572,
backend-python-fastapi-senior.txt,dhmkrwtksdgy.pdf,database,databases,94.11764705882352,
data-analytics-sql-tableau-mid.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,customer,custom,85.71428571428572,
data-analytics-sql-tableau-mid.txt,ChloeMartinezResume.pdf,transform,transforms,94.73684210526316,
data-analytics-sql-tableau-mid.txt,dhmkrwtksdgy.pdf,models,model,90.9090909090909,
data-eng-spark-aws-senior.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,pipelines,pipeline,94.11764705882352,
design-product-figma-mid.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,responsive,response,88.88888888888889,
design-product-figma-mid.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,research,search,85.71428571428572,
design-product-figma-mid.txt,ChloeMartinezResume.pdf,products,product,93.33333333333333,
devops-sre-terraform-kubernates-mid.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,pipelines,pipeline,94.11764705882352,
finance-fpa-modelling-senior.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,resource,source,85.71428571428572,
finance-fpa-modelling-senior.txt,dhmkrwtksdgy.pdf,enterprise,enterprises,95.23809523809523,
finance-fpa-modelling-senior.txt,dhmkrwtksdgy.pdf,resource,source,85.71428571428572,
frontend-react-junior.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,responsive,response,88.88888888888889,
genai-rag-langchain-senior.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,pipelines,pipeline,94.11764705882352,
genai-rag-langchain-senior.txt,dhmkrwtksdgy.pdf,models,model,90.9090909090909,
marketing-paid-growth-mid.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,conversion,conversation,90.9090909090909,
marketing-paid-growth-mid.txt,ChloeMartinezResume.pdf,continuously,continuous,90.9090909090909,
ml-classical-pytorch-mid.txt,dhmkrwtksdgy.pdf,vision,vison,90.9090909090909,
ml-classical-pytorch-mid.txt,dhmkrwtksdgy.pdf,models,model,90.9090909090909,
mobile-ios-swift-junior.txt,Chatbot-Relevant Concepts from the Masterclass.pdf,functional,function,88.88888888888889,
mobile-ios-swift-junior.txt,dhmkrwtksdgy.pdf,interfaces,interface,94.73684210526316,
