ts,resume_id,jd_hash,kw_raw,skill_raw,ngram_raw,cosine_blended,whole_doc_cos_raw,exp_cos_raw,final_score,jd_excerpt_60
2026-05-17T09:19:48.048153+00:00,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,27f0f933705c8220,0.0,0.0,0.0,1.0,1.0,0.0,36,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:19:52.111411+00:00,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,b41af77d86b58c91,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:20:25.825332+00:00,,a0df1ac6af5aa940,0.0476,0.0,0.0,1.0,1.0,0.0,41,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:20:25.851331+00:00,,a0df1ac6af5aa940,0.0476,0.0,0.0,1.0,1.0,0.0,41,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:20:25.864144+00:00,,a0df1ac6af5aa940,0.0,0.2,0.0,1.0,1.0,0.0,44,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:20:25.912717+00:00,,c489d46a470d66b8,0.0357,0.0,0.0,1.0,1.0,0.0,41,Job Title: Data Analyst  We are a fast-growing direct-to-con
2026-05-17T09:20:25.927049+00:00,,c489d46a470d66b8,0.0357,0.1818,0.0,1.0,1.0,0.0,45,Job Title: Data Analyst  We are a fast-growing direct-to-con
2026-05-17T09:20:25.952648+00:00,,f4b0dd544f11bfa8,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Senior Data Engineer  We are a global fintech org
2026-05-17T09:20:25.973810+00:00,,f4b0dd544f11bfa8,0.0556,0.0,0.0,1.0,1.0,0.0,42,Job Title: Senior Data Engineer  We are a global fintech org
2026-05-17T09:20:25.986358+00:00,,f4b0dd544f11bfa8,0.0,0.3182,0.0,1.0,1.0,0.0,48,Job Title: Senior Data Engineer  We are a global fintech org
2026-05-17T09:20:26.013533+00:00,,d2fa341f65ed0219,0.0588,0.0,1.0,1.0,1.0,0.0,52,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:20:26.036571+00:00,,d2fa341f65ed0219,0.0294,0.0,1.0,1.0,1.0,0.0,51,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:20:26.048525+00:00,,d2fa341f65ed0219,0.0,0.2,1.0,1.0,1.0,0.0,52,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:20:44.483238+00:00,,98898065c2a1dd7b,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: DevOps Engineer  We are a fast-paced cloud infras
2026-05-17T09:20:44.512662+00:00,,98898065c2a1dd7b,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: DevOps Engineer  We are a fast-paced cloud infras
2026-05-17T09:20:44.526321+00:00,,98898065c2a1dd7b,0.0,0.2,0.0,1.0,1.0,0.0,45,Job Title: DevOps Engineer  We are a fast-paced cloud infras
2026-05-17T09:20:44.553254+00:00,,da0dde82ea9194c3,0.08,0.0,1.0,1.0,1.0,0.0,49,Job Title: Director of FP&A  We are a scaling global SaaS co
2026-05-17T09:20:44.565916+00:00,,da0dde82ea9194c3,0.04,0.0,1.0,1.0,1.0,0.0,48,Job Title: Director of FP&A  We are a scaling global SaaS co
2026-05-17T09:20:44.592197+00:00,,da0dde82ea9194c3,0.08,0.25,1.0,1.0,1.0,0.0,52,Job Title: Director of FP&A  We are a scaling global SaaS co
2026-05-17T09:20:54.104223+00:00,,fbb8d6874a197ee4,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior Frontend Developer  We are a fast-growing 
2026-05-17T09:20:54.128039+00:00,,fbb8d6874a197ee4,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior Frontend Developer  We are a fast-growing 
2026-05-17T09:20:54.143575+00:00,,fbb8d6874a197ee4,0.0833,0.2308,0.0,1.0,1.0,0.0,47,Job Title: Junior Frontend Developer  We are a fast-growing 
2026-05-17T09:21:01.461162+00:00,,93332a1bf429ae28,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Full Stack Engineer  We are an established B2B Sa
2026-05-17T09:21:01.495593+00:00,,93332a1bf429ae28,0.0,0.25,0.0,1.0,1.0,0.0,46,Job Title: Full Stack Engineer  We are an established B2B Sa
2026-05-17T09:21:10.176908+00:00,,27f0f933705c8220,0.08,0.0,0.0,1.0,1.0,0.0,39,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:21:10.187971+00:00,,27f0f933705c8220,0.08,0.0,0.0,1.0,1.0,0.0,39,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:21:10.207843+00:00,,27f0f933705c8220,0.04,0.0,0.0,1.0,1.0,0.0,38,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:21:10.219592+00:00,,27f0f933705c8220,0.0,0.3125,0.0,1.0,1.0,0.0,44,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:21:19.761291+00:00,,03032fcbfa879876,0.0294,0.0,0.0,1.0,1.0,0.0,41,Job Title: Growth Marketing Manager  We are a rapidly expand
2026-05-17T09:21:19.830865+00:00,,03032fcbfa879876,0.0294,0.2143,0.0,1.0,1.0,0.0,46,Job Title: Growth Marketing Manager  We are a rapidly expand
2026-05-17T09:21:28.015078+00:00,,b41af77d86b58c91,0.05,0.0,0.0,1.0,1.0,0.0,42,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:21:28.028893+00:00,,b41af77d86b58c91,0.05,0.0,0.0,1.0,1.0,0.0,42,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:21:28.044466+00:00,,b41af77d86b58c91,0.05,0.0,0.0,1.0,1.0,0.0,42,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:21:28.055924+00:00,,b41af77d86b58c91,0.0,0.2273,0.0,1.0,1.0,0.0,45,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:21:36.758727+00:00,,cee8ff7a4b5f3e8c,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:21:36.780533+00:00,,cee8ff7a4b5f3e8c,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:21:36.791212+00:00,,cee8ff7a4b5f3e8c,0.0,0.125,0.0,1.0,1.0,0.0,42,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:21:59.640806+00:00,,a0df1ac6af5aa940,0.0952,0.0,0.0,1.0,1.0,0.0,43,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:21:59.652004+00:00,,a0df1ac6af5aa940,0.0476,0.0,0.0,1.0,1.0,0.0,41,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:21:59.664621+00:00,,a0df1ac6af5aa940,0.0,0.5667,0.0,1.0,1.0,0.0,53,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:22:08.594182+00:00,,c489d46a470d66b8,0.0714,0.5455,0.0,1.0,1.0,0.0,53,Job Title: Data Analyst  We are a fast-growing direct-to-con
2026-05-17T09:22:16.545643+00:00,,f4b0dd544f11bfa8,0.0556,0.0,0.0,1.0,1.0,0.0,42,Job Title: Senior Data Engineer  We are a global fintech org
2026-05-17T09:22:16.575457+00:00,,f4b0dd544f11bfa8,0.0,0.4091,0.0,1.0,1.0,0.0,49,Job Title: Senior Data Engineer  We are a global fintech org
2026-05-17T09:22:24.310904+00:00,16cf5a23-4251-4a52-a11c-3503b9fa4120,d2fa341f65ed0219,0.0882,0.8,1.0,1.0,1.0,1.0,70,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:22:26.323052+00:00,,d2fa341f65ed0219,0.0,0.0,1.0,1.0,1.0,0.0,50,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:22:26.342000+00:00,,d2fa341f65ed0219,0.0588,0.0,1.0,1.0,1.0,0.0,52,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:22:26.364776+00:00,,d2fa341f65ed0219,0.0294,0.6,1.0,1.0,1.0,0.0,66,"Job Title: Product Designer  We are a well-funded, innovativ"
2026-05-17T09:22:44.729638+00:00,,98898065c2a1dd7b,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: DevOps Engineer  We are a fast-paced cloud infras
2026-05-17T09:22:53.452179+00:00,,da0dde82ea9194c3,0.0,0.0,1.0,1.0,1.0,0.0,46,Job Title: Director of FP&A  We are a scaling global SaaS co
2026-05-17T09:22:53.495088+00:00,,da0dde82ea9194c3,0.04,0.75,1.0,1.0,1.0,0.0,65,Job Title: Director of FP&A  We are a scaling global SaaS co
2026-05-17T09:23:01.844993+00:00,,fbb8d6874a197ee4,0.0833,0.0,0.0,1.0,1.0,0.0,42,Job Title: Junior Frontend Developer  We are a fast-growing 
2026-05-17T09:23:01.867382+00:00,,fbb8d6874a197ee4,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior Frontend Developer  We are a fast-growing 
2026-05-17T09:23:01.880146+00:00,,fbb8d6874a197ee4,0.0833,0.4615,0.0,1.0,1.0,0.0,54,Job Title: Junior Frontend Developer  We are a fast-growing 
2026-05-17T09:23:17.233539+00:00,,93332a1bf429ae28,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Full Stack Engineer  We are an established B2B Sa
2026-05-17T09:23:17.246771+00:00,,93332a1bf429ae28,0.05,0.6071,0.0,1.0,1.0,0.0,55,Job Title: Full Stack Engineer  We are an established B2B Sa
2026-05-17T09:23:29.788261+00:00,,27f0f933705c8220,0.08,0.0,0.3333,1.0,1.0,0.0,42,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:23:29.815853+00:00,,27f0f933705c8220,0.0,0.4375,0.0,1.0,1.0,0.0,48,"Job Title: AI Engineer, LLMs  We are a Series B enterprise s"
2026-05-17T09:23:36.704113+00:00,16cf5a23-4251-4a52-a11c-3503b9fa4120,03032fcbfa879876,0.0882,0.9286,0.0,1.0,1.0,1.0,62,Job Title: Growth Marketing Manager  We are a rapidly expand
2026-05-17T09:23:38.553609+00:00,,03032fcbfa879876,0.0294,0.0,0.0,1.0,1.0,0.0,41,Job Title: Growth Marketing Manager  We are a rapidly expand
2026-05-17T09:23:38.568115+00:00,,03032fcbfa879876,0.0294,0.0,0.0,1.0,1.0,0.0,41,Job Title: Growth Marketing Manager  We are a rapidly expand
2026-05-17T09:23:38.585212+00:00,,03032fcbfa879876,0.0,0.7857,0.0,1.0,1.0,0.0,57,Job Title: Growth Marketing Manager  We are a rapidly expand
2026-05-17T09:23:50.172152+00:00,,b41af77d86b58c91,0.05,0.0,0.0,1.0,1.0,0.0,42,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:23:50.216345+00:00,,b41af77d86b58c91,0.0,0.4545,0.0,1.0,1.0,0.0,51,Job Title: Machine Learning Engineer  We are an autonomous v
2026-05-17T09:23:56.666223+00:00,16cf5a23-4251-4a52-a11c-3503b9fa4120,cee8ff7a4b5f3e8c,0.0,0.8125,0.0,1.0,1.0,1.0,58,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:23:58.531019+00:00,,cee8ff7a4b5f3e8c,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:23:58.541716+00:00,,cee8ff7a4b5f3e8c,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:23:58.556880+00:00,,cee8ff7a4b5f3e8c,0.0,0.6875,0.0,1.0,1.0,0.0,56,Job Title: Junior iOS Developer  We are an award-winning dig
2026-05-17T09:24:06.753309+00:00,,a0df1ac6af5aa940,0.0952,0.0,0.0,1.0,1.0,0.0,43,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:24:06.788404+00:00,,a0df1ac6af5aa940,0.0476,0.2667,0.0,1.0,1.0,0.0,47,Job Title: Senior Backend Engineer  We are a leading healtht
2026-05-17T09:24:20.144833+00:00,,c489d46a470d66b8,0.0357,0.0,0.0,1.0,1.0,0.0,41,Job Title: Data Analyst  We are a fast-growing direct-to-con
2026-05-17T09:24:20.181941+00:00,,c489d46a470d66b8,0.0357,0.2727,0.0,1.0,1.0,0.0,46,Job Title: Data Analyst  We are a fast-growing direct-to-con
2026-05-17T09:24:39.646675+00:00,,f4b0dd544f11bfa8,0.0,0.0,0.0,1.0,1.0,0.0,40,Job Title: Senior Data Engineer  We are a global fintech org
